,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.001,58.333333333333336,83.33333333333334,25.0,75.0,16.666666666666664,41.66666666666667,16.666666666666664,25.0,16.666666666666664
binding_site.004,0.0,50.0,45.83333333333333,29.166666666666668,29.166666666666668,0.0,0.0,41.66666666666667,0.0
binding_site.005,0.0,50.0,50.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
binding_site.007,0.0,0.0,25.0,15.0,15.0,0.0,0.0,0.0,0.0
binding_site.003,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.000,87.5,100.0,100.0,100.0,12.5,87.5,87.5,100.0,87.5
binding_site.002,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.006,0.0,100.0,100.0,25.0,25.0,0.0,0.0,100.0,0.0
binding_site.008,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
