,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,0.0,0.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0
binding_site.001,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
binding_site.004,11.11111111111111,88.88888888888889,88.88888888888889,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,88.88888888888889,11.11111111111111
binding_site.002,75.0,50.0,50.0,75.0,0.0,25.0,25.0,50.0,25.0
