,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,90.41095890410958,100.0,100.0,100.0,9.58904109589041,90.41095890410958,90.41095890410958,100.0,90.41095890410958
binding_site.001,25.53191489361702,78.72340425531915,89.36170212765957,42.5531914893617,17.02127659574468,21.27659574468085,25.53191489361702,76.59574468085107,21.27659574468085
binding_site.003,0.0,0.0,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.005,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
