,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,100.0,25.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0
binding_site.002,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
binding_site.003,0.0,100.0,100.0,83.33333333333334,83.33333333333334,0.0,0.0,100.0,0.0
binding_site.006,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.001,25.0,100.0,83.33333333333334,66.66666666666666,41.66666666666667,25.0,8.333333333333332,83.33333333333334,8.333333333333332
binding_site.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
