,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,95.83333333333334,50.0,33.33333333333333,100.0,4.166666666666666,45.83333333333333,29.166666666666668,33.33333333333333,29.166666666666668
binding_site.001,41.66666666666667,91.66666666666666,54.166666666666664,70.83333333333334,29.166666666666668,33.33333333333333,12.5,54.166666666666664,12.5
binding_site.002,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0
binding_site.003,0.0,50.0,62.5,41.66666666666667,41.66666666666667,0.0,0.0,50.0,0.0
binding_site.004,0.0,50.0,45.83333333333333,29.166666666666668,29.166666666666668,0.0,0.0,41.66666666666667,0.0
binding_site.005,0.0,50.0,50.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
binding_site.006,0.0,50.0,33.33333333333333,8.333333333333332,8.333333333333332,0.0,0.0,33.33333333333333,0.0
binding_site.007,0.0,0.0,20.833333333333336,12.5,12.5,0.0,0.0,0.0,0.0
binding_site.008,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0
