,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,37.5,37.5,54.166666666666664,50.0,12.5,29.166666666666668,16.666666666666664,25.0,16.666666666666664
binding_site.001,70.83333333333334,87.5,87.5,91.66666666666666,20.833333333333336,70.83333333333334,70.83333333333334,87.5,70.83333333333334
binding_site.002,45.83333333333333,33.33333333333333,37.5,54.166666666666664,8.333333333333332,25.0,29.166666666666668,33.33333333333333,25.0
binding_site.003,12.5,0.0,8.333333333333332,25.0,12.5,0.0,0.0,0.0,0.0
binding_site.004,4.166666666666666,45.83333333333333,70.83333333333334,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,41.66666666666667,4.166666666666666
binding_site.005,4.166666666666666,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0
binding_site.006,0.0,0.0,0.0,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0
binding_site.007,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
