,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,45.0,45.0,50.0,55.00000000000001,10.0,35.0,20.0,30.0,20.0
binding_site.001,53.333333333333336,80.0,80.0,86.66666666666667,33.33333333333333,53.333333333333336,53.333333333333336,80.0,53.333333333333336
binding_site.002,40.0,30.0,35.0,50.0,10.0,25.0,30.0,30.0,25.0
binding_site.003,12.5,0.0,8.333333333333332,25.0,12.5,0.0,0.0,0.0,0.0
binding_site.004,0.0,20.0,60.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0
binding_site.005,4.166666666666666,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0
binding_site.006,0.0,0.0,0.0,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0
binding_site.007,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
