,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.011,0.0,8.333333333333332,0.0,8.333333333333332,8.333333333333332,0.0,0.0,0.0,0.0
binding_site.000,75.47169811320755,100.0,100.0,92.45283018867924,16.9811320754717,75.47169811320755,75.47169811320755,100.0,75.47169811320755
binding_site.003,0.0,80.0,100.0,0.0,0.0,0.0,0.0,80.0,0.0
binding_site.005,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.001,33.33333333333333,33.33333333333333,0.0,100.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0
binding_site.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.002,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0
